grade,question,golden
3,问：李春从学校放学回家走了20分钟，他平均每分钟走110米，李春家离学校有多远？答：李春每分钟走110米，那么20分钟他会走110米 * 20 = 2200米。所以李春家离学校有2200米。问：李春从学校放学回家走了20分钟，他平均每分钟走100米，李春家离学校有多远？,2000
3,问：某小区的绿化带3/9的地种了柏树，剩下的种松树，种松树的地占整个绿化带的几分之几？答：绿化带已经种了3/9的地种柏树，那么剩下的就是1-3/9=6/9。所以，种松树的地占整个绿化带的6/9。问：某小区的绿化带6/9的地种了柏树，剩下的种松树，种松树的地占整个绿化带的几分之几？,3/9
3,问：一个没关紧的水龙头，一星期能流失约670千克的水。平均每天大约流失多少千克的水？答：一个星期有7天，所以如果一星期能流失约670千克的水，那么平均每天流失的水量为670千克除以7，大约为95.71千克。问：一个没关紧的水龙头，一星期能流失约700千克的水。平均每天大约流失多少千克的水？,100
3,问：王老师在教师节收到138朵花，如果每3朵扎成一束，可以扎几束？答：138除以3等于46，所以可以扎46朵。问：王老师在教师节收到150朵花，如果每5朵扎成一束，可以扎几束？,30
3,问：刘阳今年6岁，妈妈的年龄是刘阳年龄的5倍，奶奶的年龄又是妈妈年龄的2倍，奶奶今年多少岁？答：刘阳的妈妈今年是6岁*5=30岁，奶奶则是30岁*2=60岁。所以奶奶今年60岁。问：刘阳今年6岁，妈妈的年龄是刘阳年龄的5倍，奶奶的年龄又是妈妈年龄的2倍，奶奶今年多少岁？问：刘阳今年5岁，妈妈的年龄是刘阳年龄的6倍，奶奶的年龄又是妈妈年龄的2倍，奶奶今年多少岁？,60
3,问：小华带了20元钱去文具店买学习用品，买一支钢笔用去总钱数的1/2，买一本笔记本用去总钱数的1/5，一支钢笔比一只笔记本贵多少钱？答：小华买一支钢笔花了20元的1/2，也就是10元。他买一本笔记本花了20元的1/5，也就是4元。所以，一支钢笔比一本笔记本贵10 - 4 = 6元。问：小华带了30元钱去文具店买学习用品，买一支钢笔用去总钱数的1/2，买一本笔记本用去总钱数的1/3，一支钢笔比一只笔记本贵多少钱？,5
3,问：一套明信片14张，每张售价5元，今天一共卖出52套，一共收入多少元？答：每套明信片的售价是14张 x 5元/张 = 70元/套。今天一共卖出的明信片收入是52套 x 70元/套 = 3640元。问：一套明信片10张，每张售价5元，今天一共卖出50套，一共收入多少元？,2500
3,问：为了美化校园环境，学校买了160盆菊花，分别摆在校门口两侧，平均每侧放多少盆？答：学校买了160盆菊花，分别摆在校门口两侧，所以每一侧应该放160盆 / 2 = 80盆菊花。问：为了美化校园环境，学校买了140盆菊花，分别摆在校门口两侧，平均每侧放多少盆？,70
3,问：兴兴玩具厂生产了408个布娃娃，如果每3个布娃娃装一箱，一共可以装多少箱？答：408除以3等于136，兴兴玩具厂可以装136箱布娃娃。问：兴兴玩具厂生产了400个布娃娃，如果每4个布娃娃装一箱，一共可以装多少箱？,100
3,问：王老师买了一根长绳，现在要把这根长绳剪成几根同样长的短绳。王老师把长绳连续对折三次，然后沿折痕剪开，每根短绳占这根长绳的几分之几？答：如果王老师把长绳连续对折三次，那么长绳就被分成了 2^3 = 8等份。所以，每根短绳占这根长绳的八分之一。问：王老师买了一根长绳，现在要把这根长绳剪成几根同样长的短绳。王老师把长绳连续对折四次，然后沿折痕剪开，每根短绳占这根长绳的几分之几？,1/12
3,问：货车平均每小时行87千米，从甲城到乙城行了16小时，甲、乙两城相距多少千米？答：货车行驶的总距离是 87千米/小时 * 16小时 = 1392千米。所以，甲乙两城相距约1392千米。问：货车平均每小时行80千米，从甲城到乙城行了12小时，甲、乙两城相距多少千米？,960
3,问：电影院共有1400个座位。东风小学共有31个班，平均每班有43人，请问这个学校的所有学生都坐下后还剩多少座位？答：东风小学的学生总人数是31个班乘以每班43人，即1333人。电影院有1400个座位，所以如果所有学生都坐下后，还剩下1400 - 1333 = 67个座位。问：电影院共有1400个座位。东风小学共有30个班，平均每班有40人，请问这个学校的所有学生都坐下后还剩多少座位？,200
3,问：某工地的一项工程，原计划由30人工作，每天工作8小时，50天完工，为了提前完工，实际由40人工作，每天工作10小时，可以提前几天完工？,20
3,问：民兵军训，4小时走16千米，为了达到目的地，每小时多走1千米，剩下的20千米要几小时？答：如果民兵军训每小时增加1千米的速度，那么他们的新速度将会是原来的速度4千米/小时加上额外的1千米/小时，总共是5千米/小时。所以，要走剩下的20千米，他们需要20千米 ÷ 5千米/小时 = 4小时。问：民兵军训，4小时走10千米，为了达到目的地，每小时多走1千米，剩下的20千米要几小时？,4
3,问：商店新进560千克苹果，如果5天卖完，平均每天卖多少千克？答：平均每天卖掉的苹果重量是560千克除以5天，结果是112千克/天。问：商店新进600千克苹果，如果5天卖完，平均每天卖多少千克？,120
3,问：李明家去年养鸭600只，今年比去年多248只，今年养了多少只鸭？答：今年他养了600 + 248 = 848只鸭。问：李明家去年养鸭200只，今年比去年多350只，今年养了多少只鸭？,550
3,问：某剧场楼上有16排座位，每排可以坐42人，平均每个座位票价5元，若座位全部坐满，这个剧院可以收入多少元？答：剧场的座位总数是16*42=672个座位。如果每个座位票价5元，剧院可以收入672*5=3360元。问：某剧场楼上有15排座位，每排可以坐40人，平均每个座位票价5元，若座位全部坐满，这个剧院可以收入多少元？,3000
3,问：一块边长为2米的正方形花布，它的面积是多少平方米？答：正方形的面积计算公式为边长的平方，所以面积是2米*2米=4平方米。问：一块边长为3米的正方形花布，它的面积是多少平方米？,9
3,问：新华书店购进故事书860本，文艺书410本，购进的故事书比文艺书多多少本? 答：购进的故事书比文艺书多860 - 410 = 450本。问：新华书店购进故事书800本，文艺书450本，购进的故事书比文艺书多多少本?,350
3,问：在一块边长8米的正方形水池外围上一条宽1米的小路，求小路的面积。答：新的正方形的边长是8 + 1 = 9米。新的正方形的面积为9*9 = 81， 小路的面积是两个正方形面积的差，所以9*9 - 8*8 = 37平方米。问：在一块边长5米的正方形水池外围上一条宽1米的小路，求小路的面积。,11
3,问：学校食堂运进1240千克食用油，用了8天，还剩40千克，平均每天用多少千克食用油？答：学校总共使用了1240千克食用油减去剩下的40千克，也就是1200千克。每天平均使用的食用油是1200千克除以8，结果是150千克。问：学校食堂运进1200千克食用油，用了10天，还剩200千克，平均每天用多少千克食用油？,100
3,问：丽丽从一楼走到三楼用了18秒，照这样计算，他从一楼到七楼需要多长时间？答：丽丽从一楼走到三楼，实际上是走了两层楼，用了18秒。所以，她走一层楼大约需要18 / 2 = 9秒。从一楼到七楼，她需要走六层楼。因此，总时间大约是6 * 9 = 54秒。问：丽丽从一楼走到三楼用了12秒，照这样计算，他从一楼到六楼需要多长时间？,24
3,问：小强写一篇作文一共写了608个字，正好4面，每面有8行。平均每面写多少个字？答：小强总共写了608个字，分布在4面纸上。所以，平均每面纸上有608 ÷ 4 = 152个字。问：小强写一篇作文一共写了600个字，正好4面，每面有8行。平均每面写多少个字？,150
3,问：用篱笆围成一个长方形的养鸡场，一边利用18米长的墙壁，篱笆共长40米，求养鸡场的面积。,198
3,问：有6个小组，每组4人，共摘了216千克苹果，平均每人摘了多少个苹果？答：6个小组每组4人，所以总共有6*4=24人。216千克 ÷ 24人 = 9千克/人。所以，平均每人摘了9千克的苹果。问：有5个小组，每组6人，共摘了300千克苹果，平均每人摘了多少个苹果？,10
3,问：一根绳子长25米，剪10米做一根长跳绳，剩下的每2米做一根短跳绳，可以做多少根短跳绳？答：一根绳子长25米，剪掉10米后剩下15米。每2米做一根短跳绳，所以可以做15/2=7.5根。但是跳绳不能是半根，所以只能做7根短跳绳。问：一根绳子长20米，剪10米做一根长跳绳，剩下的每2米做一根短跳绳，可以做多少根短跳绳？,5
3,问：冷饮公司每天生产960支奶油冰淇淋。每盒装6支，可以装几盒？答：冷饮公司每天可以装960 / 6 = 160盒奶油冰淇淋。问：冷饮公司每天生产800支奶油冰淇淋。每盒装4支，可以装几盒？,200
3,问：5个工人10天修了500米，若速度不变，20人要修4000米，需要多少天？答：我们可以得出一个工人一天可以修100米（500除以5再除以10=10米）。所以，20个工人一天可以修2000米（20人*10米=200米）。所以，要修4000米，20个工人需要2天（4000/200=20）。问：6个工人10天修了600米，若速度不变，20人要修4000米，需要多少天？,20
3,问：学校新买来780本图书，分给6个年级的学生，平均每个年级可以分到多少本？答：每个年级平均可以分到780/6=130本图书。问：学校新买来750本图书，分给5个年级的学生，平均每个年级可以分到多少本？,150
3,问：超市里一个书包32元，买21个这样的书包需要多少元？答：买21个这样的书包需要32元 x 21 = 672元。问：超市里一个书包30元，买20个这样的书包需要多少元？,600
3,问：在一块长30米，宽15米得长方形地理栽白薯，平均15平方分米栽一棵，平均每棵收白薯2.5千克，这块地共收白薯多少千克？,7500
3,问：为了绿化校园，学校买来了60盒鲜花，这些鲜花如果摆6排，每排可以摆多少盒？答：60除以6等于10。所以每排可以摆10盒。问：为了绿化校园，学校买来了70盒鲜花，这些鲜花如果摆7排，每排可以摆多少盒？,10
3,问：明明跑了450米，爷爷跑的米数相当于明明跑的2倍，爸爸跑的比明明和爷爷跑的总数还多850米。爸爸跑了多少米？答：明明跑了450米，爷爷跑的米数相当于明明跑的2倍，也就是900米。明明和爷爷跑的总数是450米+900米=1350米。爸爸跑的比明明和爷爷跑的总数还多850米，也就是1350米+850米=2200米。所以，爸爸跑了2200米。问：明明跑了500米，爷爷跑的米数相当于明明跑的2倍，爸爸跑的比明明和爷爷跑的总数还多800米。爸爸跑了多少米？,2300
4,问：用面包机烤面包时，第一面烤2分钟，第二面只要烤1分钟，即烤一片面包需要3分钟，小勤的面包机一次只能放2片，他每天早上吃3片面包，至少需要烤多少分钟？答：首先烤前两片面包，需要2 + 1 = 3分钟，然后再烤剩下的一片面包，需要2 + 1 =3分钟。所以，总共需要3 + 3 = 6分钟。问：用面包机烤面包时，第一面烤3分钟，第二面只要烤2分钟，即烤一片面包需要5分钟，小勤的面包机一次只能放2片，他每天早上吃3片面包，至少需要烤多少分钟？,10
4,问：一个数的千位上是2，个位上是3，十位和十分位上都是1，百位和百分位上都是8，这个数是多少？答：这个数是2813.18 问：一个数的千位上是3，个位上是0，十位和十分位上都是1，百位和百分位上都是8，这个数是多少？,3810.18
4,问：一件上衣156元，一条裤子144元，一件上衣和一条裤子一共多少元？答：一件上衣和一条裤子一共是156元+144元=300元。问：一件上衣250元，一条裤子150元，一件上衣和一条裤子一共多少元？,400
4,问：水果店购回香梨和苹果各36箱，香梨每箱45元，苹果每箱55元。香梨和苹果一共花了多少元？答：香梨36箱，每箱45元，所以香梨总共花了36 * 45 = 1620元。苹果36箱，每箱55元，所以苹果总共花了36 * 55 = 1980元。所以香梨和苹果总共花了1620 + 1980 = 3600元。问：水果店购回香梨和苹果各30箱，香梨每箱40元，苹果每箱50元。香梨和苹果一共花了多少元？,2700
4,问：钱红和顾颖用计算机同时合打一份1820个字的材料。钱红每分钟打字120个，顾颖每分钟打字140个。她俩打完这份材料，需用多少分钟？答：钱红和顾颖每分钟可以一起打字120 + 140 = 260个。所以，打完1820个字的材料需要约7分钟 (1820 ÷ 260 = 7)。问：钱红和顾颖用计算机同时合打一份1800个字的材料。钱红每分钟打字150个，顾颖每分钟打字150个。她俩打完这份材料，需用多少分钟？,6
4,问：张村挖一条长1200米的水渠，计划15天挖完。实际每天比计划多挖20米，实际用了多少天？答：按照原计划，每天挖1200米/15天=80米。实际上每天挖80米+20米=100米。我们将水渠的总长度除以每天实际挖的长度，得到实际用了多少天。即1200/100=12天。问：张村挖一条长1000米的水渠，计划20天挖完。实际每天比计划多挖30米，实际用了多少天？,12
4,问：煤场上午运来煤1.5吨，下午又运来了一些，一天共运来煤4.36吨，下午运来多少吨？答：下午运来了4.36吨 - 1.5吨 = 2.86吨的煤。问：煤场上午运来煤2吨，下午又运来了一些，一天共运来煤4.5吨，下午运来多少吨？,2.5
4,问：某花店里菊花有300朵，是百合花的12倍，百合花有多少朵？答：菊花是百合花的12倍，所以百合花的数量应该是菊花数量的1/12。因此，百合花的数量为300除以12，等于25朵。问：某花店里菊花有200朵，是百合花的10倍，百合花有多少朵？,20
4,问：运输队运水泥，一辆大车每次运90包，一辆小车每次运35包，大车和小车各运16次，一共运水泥多少包？答：一辆大车每次运90包，运16次，总共运送了90*16=1440包。一辆小车每次运35包，运16次，总共运送了35*16=560包。所以，大车和小车一共运送了1440+560=2000包水泥。问：运输队运水泥，一辆大车每次运80包，一辆小车每次运30包，大车和小车各运10次，一共运水泥多少包？,1100
4,问：水果店运来26箱橙子，每箱36千克，运来的苹果比橙子多278千克，水果店运来橙子和苹果共多少千克？答：26箱橙子，每箱36千克，所以橙子的总重量是26 * 36 = 936千克。苹果的重量比橙子多278千克，所以苹果的重量是936 + 278 = 1214千克。所以，水果店运来的橙子和苹果总共是936 + 1214 = 2150千克。问：水果店运来20箱橙子，每箱30千克，运来的苹果比橙子多200千克，水果店运来橙子和苹果共多少千克？,1400
4,问：一辆汽车从甲地开往乙地，每小时行驶76千米，行驶了7个小时，甲、乙两地的距离是多少千米？答：一辆汽车每小时行驶76千米，行驶了7个小时，那么甲、乙两地的距离就是76千米/小时 * 7小时 = 532千米。问：一辆汽车从甲地开往乙地，每小时行驶70千米，行驶了5个小时，甲、乙两地的距离是多少千米？,350
4,问：把2.01扩大到原数的100倍是多少？答：2.01 * 100 = 201， 所以答案是201。问：把2.03扩大到原数的100倍是多少？,203
4,问：莉莉有129张邮票，明明有71张邮票，每张邮票售价2元，莉莉和明明可以卖多少元？答：莉莉和明明共有129张 + 71张 = 200张邮票。每张邮票售价2元，所以他们可以卖出200张 * 2元/张 = 400元。问：莉莉有120张邮票，明明有80张邮票，每张邮票售价2元，莉莉和明明可以卖多少元？,400
4,问：汽车上山的速度为每小时36千米，行了5小时到达山顶，下山时按原路返回只用了4小时。汽车下山时平均每小时行多少千米？答：汽车上山行了5小时，速度为每小时36千米，所以总共行了5*36=180千米。下山时按原路返回，也就是同样的180千米，但是只用了4小时，所以下山时的平均速度为180/4=45千米/小时。所以，汽车下山时平均每小时行45千米。问：汽车上山的速度为每小时30千米，行了5小时到达山顶，下山时按原路返回只用了3小时。汽车下山时平均每小时行多少千米？,50
4,问：某工厂去年生产农具3657件，今年比去年多生产679件，今年生产了多少件农具？答： 今年工厂生产的农具数量是去年的3657件加上今年多生产的679件，所以总数是3657 + 679 = 4336件。所以，今年工厂生产了4336件农具。问：某工厂去年生产农具2000件，今年比去年多生产550件，今年生产了多少件农具？,2550
4,问：可可在家里烙饼，锅里每次可烙两张饼，两面都要烙，每面要烙2分钟，烙7张饼要用几分钟？答：因为锅里可以同时烙两张饼，所以每次可以在4分钟内完成两张饼。所以，烙7张饼就需要：前6张饼需要的时间是：6/ 2 * 4 = 12分钟。最后一张饼需要4分钟，所以总共需要12 + 4 = 16分钟。问：可可在家里烙饼，锅里每次可烙两张饼，两面都要烙，每面要烙3分钟，烙7张饼要用几分钟？,24
4,问：1吨海水含盐20千克，100千克这样的海水含盐多少吨？答：1吨海水含盐20千克，所以1千克海水含盐20克。那么，100千克海水就含盐2千克，即0.002吨。问：1吨海水含盐30千克，100千克这样的海水含盐多少吨？,0.003
4,问：妈妈到超市买苹果用去21.76元，买梨用去19.39元，一共用去多少元？答：妈妈一共用去21.76元 + 19.39元 = 41.15元。问：妈妈到超市买苹果用去21.70元，买梨用去19.30元，一共用去多少元？,41
4,问：春节前，工厂后勤工作人员带1000元买桔树，买了13盆桔树，还剩155元，平均每盆桔树的价格是多少元？答：他用于购买桔树的金额是1000元 - 155元 = 845元。所以每盆桔树的平均价格是845元 ÷ 13盆 = 65元/盆。问：春节前，工厂后勤工作人员带1000元买桔树，买了20盆桔树，还剩180元，平均每盆桔树的价格是多少元？,41
4,问：春节快到了，小明准备送给几个好朋友祝福贺卡，他了解到每张贺卡2元，于是他带着买15张贺卡的钱来到商店，发现他想买的这种贺卡每张涨了1元．请帮小明算一算，他所带的钱现在可以买多少张贺卡？答：小明原来准备买15张贺卡，所以他带的钱是15张 * 2 = 30元。现在每张贺卡是3元，所以他能买的贺卡数量是30/3 = 10张。所以，小明现在可以买10张贺卡。问：春节快到了，小明准备送给几个好朋友祝福贺卡，他了解到每张贺卡4元，于是他带着买15张贺卡的钱来到商店，发现他想买的这种贺卡每张涨了1元．请帮小明算一算，他所带的钱现在可以买多少张贺卡？,12
4,问：一瓶橙汁是4元钱，一箱24瓶，王叔叔这个月卖了25箱，一共卖了多少元钱？答：一箱橙汁是4元*24瓶=96元。王叔叔这个月卖了25箱，所以他一共卖了96元/箱*25箱=2400元。问：一瓶橙汁是5元钱，一箱24瓶，王叔叔这个月卖了25箱，一共卖了多少元钱？,3000
4,问：修路工人要修一条850米长的公路，已经修了19天，还有185米没修，平均每天修了多少米？答：修路工人已经修了850米 - 185米 = 665米的公路。所以，平均每天修了665米 ÷ 19天 = 约35米。问：修路工人要修一条850米长的公路，已经修了20天，还有150米没修，平均每天修了多少米？,35
4,问：学校买足球用去96.8，买排球用去56.6，买篮球用去103.2元。学校买足球、排球和篮球共用了多少元？答：学校买足球、排球和篮球共用了96.8元+56.6元+103.2元=256.6元。问：学校买足球用去95.5，买排球用去55.5，买篮球用去100.5元。学校买足球、排球和篮球共用了多少元？,251.5
4,问：由4个一、4个十分之一、4个千分之一组成的数是多少？答：4+4*(1/10)+4*(1/1000)=4.404。问：由5个一、5个十分之一、5个千分之一组成的数是多少？,5.505
4,问：王老师带了386元钱，买足球用去了130元，剩下的钱又买了8个篮球，平均每个篮球多少元？答：他剩下的金额就是386 - 130 = 256元。这可以通过将剩余的金额256元除以篮球的数量8来得到。所以，每个篮球的平均价格是256 ÷ 8 = 32元。问：王老师带了350元钱，买足球用去了110元，剩下的钱又买了8个篮球，平均每个篮球多少元？,30
4,问：张兰在读一个小数时，把小数点丢了，结果读成了一万四千零二。如果原来的小数要读出两个零。那么原来的小数是多少？答：张兰在读时把小数点丢了，所以我们需要在原来的数字中找到合适的位置插入小数点，使得读出的数中有两个零。那么，只有把小数点放在14和002之间，才能满足这个条件。所以原来的小数是14.002。问：张兰在读一个小数时，把小数点丢了，结果读成了一万六千零二。如果原来的小数要读出两个零。那么原来的小数是多少？,16.002
4,问：学校举行团体操表演，每行25位学生，一共有36行，参加团体操表演的学生一共有多少位？答：参加团体操表演的学生一共有25位学生乘以36，也就是900位学生。问：学校举行团体操表演，每行25位学生，一共有30行，参加团体操表演的学生一共有多少位？,750
4,问：水果店运来24箱水果，每箱25千克，这些水果一共多少千克？答：这些水果一共是24箱 * 25千克/箱 = 600千克。问：水果店运来25箱水果，每箱20千克，这些水果一共多少千克？,500
4,问：小华的四次跳远成绩分别为141厘米、160厘米、161厘米、162厘米。请你帮小华算出她跳远的平均成绩是多少厘米。答：小华的四次跳远成绩的总和是141厘米 + 160厘米 + 161厘米 + 162厘米 = 624厘米。所以，她的平均成绩是624厘米 ÷ 4 = 156厘米。问：小华的四次跳远成绩分别为160厘米、161厘米、159厘米、160厘米。请你帮小华算出她跳远的平均成绩是多少厘米。,160
4,问：一块长方形地的面积是0.8公顷，它的宽是100米．那么它的长是多少米？答：一公顷等于10000平方米。所以，0.8公顷等于8000平方米。我们可以通过将面积除以宽来找到长。所以，8000除以100等于80，所以这块地的长是80米。问：一块长方形地的面积是0.5公顷，它的宽是100米．那么它的长是多少米？,50
4,问：学校买来练习本3640本，分给三年级256本，分给四年级378本，分给五年级444本，分给六年级322本。这四个年级一共分得多少本练习本？答：一共分得的练习本数目为：256本 + 378本 + 444本 + 322本 = 1400本。问：学校买来练习本3540本，分给三年级156本，分给四年级378本，分给五年级444本，分给六年级322本。这四个年级一共分得多少本练习本？,1300
4,问：甲在乙的后面28千米，两人同时相向而行，甲每小时行16千米，乙每小时行9千米，问甲几小时追上乙？答： 甲和乙的速度差是16 - 9= 7，甲和乙距离28千米，所以甲需要28/7 = 4小时才能追上乙。问：甲在乙的后面25千米，两人同时相向而行，甲每小时行15千米，乙每小时行10千米，问甲几小时追上乙？,5
4,问：王老师买香蕉用了10.75元，买橘子用了9.7元，他付给售货员25元，应找回多少元？答：王老师买香蕉和橘子总共花费了10.75元 + 9.7元 = 20.45元。所以售货员应该找回给他25元 - 20.45元 = 4.55元。问：王老师买香蕉用了11.75元，买橘子用了8.7元，他付给售货员25元，应找回多少元？,4.55
4,问：新华书店运到2车图书，每辆车装125包，每包有80本。新华书店运到图书多少本？答：两辆车装载的总包数是：2 * 125 = 250包，运到的总图书数是：250 * 80 = 20000本。问：新华书店运到2车图书，每辆车装150包，每包有80本。新华书店运到图书多少本？,24000
4,问：102，103，105，101，109，102，106，104这8个数的平均数是？答：这8个数的总和是：102 + 103 + 105 + 101 + 109 + 102 + 106 + 104 = 832。832 ÷ 8 = 104。所以，这8个数的平均数是104。问：101，104，104，102，109，102，106，104这8个数的平均数是？,104
4,问：每箱可口可乐有18瓶，每瓶3元，爸爸拿80元钱买了一箱，还剩下多少元？答：箱可口可乐的价格是18瓶乘以每瓶3元，等于54元。所以爸爸用80元买了一箱后，还剩下80元减去54元，等于26元。问：每箱可口可乐有15瓶，每瓶4元，爸爸拿80元钱买了一箱，还剩下多少元？,20
4,问：把21.06扩大到原数的1000倍是多少？答：21.06 * 1000 = 21060。问：把22.06扩大到原数的1000倍是多少？,22060
4,问：10千克花生可榨油4.3千克，1千克花生可榨油多少千克？1千克花生可以榨油0.43千克。问：10千克花生可榨油4.5千克，1千克花生可榨油多少千克？,0.45
4,问：果园里种梨树18行，每行35棵。苹果树25行，每行32棵。果园里共有果树多少棵？答：果园里的梨树总共有18*35=630棵。果园里的苹果树总共有25*32=800棵。总数是630 + 800 = 1430颗。问：果园里种梨树15行，每行40棵。苹果树25行，每行20棵。果园里共有果树多少棵？,1100
4,问：小明和小芳同院，小芳上学每分走50米，12分到学校，小明上学每分比小芳多走10米，小明几分到学校？答：走到学校的总距离就是50 * 12 = 600米，明每分钟走50 + 10 = 60米，所以小明走到学校需要的时间是600 / 60 = 10分钟。问：小明和小芳同院，小芳上学每分走50米，12分到学校，小明上学每分比小芳多走10米，小明几分到学校？,10
4,问：张明看一本572页的故事书，如果他每天看22页，需要多少天才能看完？答：572/22 约等于26。因此，张明需要26天才能看完一本572页的故事书。问：张明看一本500页的故事书，如果他每天看25页，需要多少天才能看完？,20
4,问：修一段长960米的公路，修了6天完成了全长的一半，余下的平均每天修80米，修完这段公路一共需要多少天？答：6天修了960/2=480米。剩下的480米每天修80米，那么还需要480/80=6天。所以，修完这段公路一共需要6+6=12天。问：修一段长1000米的公路，修了6天完成了全长的一半，余下的平均每天修50米，修完这段公路一共需要多少天？,16
4,问：海沧野生动物园的狮子一天要吃37千克的食物，十月份一个月要吃多少千克食物？答：37 * 31 = 1147千克，所以一只狮子会吃1147千克。问：海沧野生动物园的狮子一天要吃35千克的食物，十月份一个月要吃多少千克食物？,1085
4,问：小明在计算除法时，错将除数36看成63，结果得到商24。请你帮他算一算，正确的商应该是多少？答：首先，我们来计算错误的结果：63 * 24 = 1512，然后，我们用这个结果除以正确的除数36：1512 ÷ 36 = 42。所以42是正确的商。问：小明在计算除法时，错将除数36看成63，结果得到商24。请你帮他算一算，正确的商应该是多少？,42
4,问：一台磨面机每小时磨面800千克，照这样计算，7台磨面机每小时能磨面粉多少千克？答：所以7台磨面机每小时能磨面 7 * 800 = 5600千克。问：一台磨面机每小时磨面500千克，照这样计算，7台磨面机每小时能磨面粉多少千克？,3500
4,问：同学们进行跳绳比赛，规定每人跳3分钟。小红平均比小明多跳8个，小明共跳了321个。求小红一共跳了多少个？答：如果小明跳了321个，那么小红如果每分钟平均多跳8个，就是3分钟多跳24个。所以小红一共跳了321个+24个=345个。问：同学们进行跳绳比赛，规定每人跳4分钟。小红每分钟平均比小明多跳8个，小明共跳了320个。求小红一共跳了多少个？,352
4,问：一束鲜花30元，买5束送一束。王阿姨一次买5束，每束便宜多少元？答：她花费5 * 30 = 150元得到6束花，每束花为150/6 = 25元，所以每束便宜25-5 = 20元。问：一束鲜花12元，买5束送一束。王阿姨一次买5束，每束便宜多少元？,2
4,问：学校要进行作业展览，一共要展示270件作品，每块展板最多放25件，需要多少块展板？答：270/25 = 10.8。但是你不能有0.8块展板，所以你需要向上取整，总共需要11块展板。问：学校要进行作业展览，一共要展示320件作品，每块展板最多放25件，需要多少块展板？,13
4,问：四年级同学们采集松树种子，（1）班采集了31.56千克，（2）班采集了33.45千克，（3）班采集了30.2千克。三个班一共采集了多少千克？答：四年级同学们一共采集了31.56千克 + 33.45千克 + 30.2千克 = 95.21千克的松树种子。问：四年级同学们采集松树种子，（1）班采集了31.58千克，（2）班采集了33.47千克，（3）班采集了30.4千克。三个班一共采集了多少千克？,95.45
4,问：用一个平底锅煎饼，每次最多能同时放2张饼，如果煎一张饼需要2分钟（假定正、反面各需1分钟）．煎3张饼至少需要几分钟？答：煎3张饼至少需要4分钟。首先同时煎两张饼需要2分钟，然后再煎剩下的一张饼也需要2分钟，所以一共需要4分钟。问：用一个平底锅煎饼，每次最多能同时放2张饼，如果煎一张饼需要3分钟（假定正、反面各需1分钟）．煎3张饼至少需要几分钟？,6
5,问：一组学生植树，每人栽6棵还剩4棵；如果其中3人各栽5棵，其余每人各栽7棵，正好栽完。这一组学生有多少人？答：10。问：一组学生植树，每人栽6棵还剩4棵；如果其中3人各栽5棵，其余每人各栽7棵，正好栽完。这一组学生有多少人？,10
5,问：一个底面是正方形的长方体纸盒，它的侧面展开图是一个边长是21厘米的正方形。这个纸盒的表面积是多少平方厘米,2646
5,问：故宫的面积是72万平方米，比天安门广场面积的2倍少16万平方米．天安门广场的面积多少万平方米？答：我们可以设天安门广场的面积为x万平方米。因为故宫的面积比天安门广场的面积少2倍还少16万平方米，所以我们可以建立如下等式：x*2 - 16 = 72，所以x = 44。问：故宫的面积是72万平方米，比天安门广场面积的2倍少10万平方米．天安门广场的面积多少万平方米？,41
5,问：一根竹竿插入水中，入水部分长5/14米，入泥部分1/14米，露出水面3/14米。这根竹竿长多少米？答：这根竹竿的长度是5/14米 + 1/14米 + 3/14米 = 9/14米。问：一根竹竿插入水中，入水部分长5/15米，入泥部分1/15米，露出水面3/15米。这根竹竿长多少米？,9/15
5,问：循环使用一本教科书，一年可以节约纸张2/5千克，如果一年循环使用3本教科书，可以节约纸张多少千克？答：一年循环使用3本教科书可以节约纸张 (2/5)*3=6/5千克。问：循环使用一本教科书，一年可以节约纸张1/5千克，如果一年循环使用3本教科书，可以节约纸张多少千克？,3/5
5,问：在20米花坛的一侧，每隔4米栽一棵树苗（只栽一端）。一共需要多少棵树苗？答：可以通过将总长度（20米）除以每棵树苗之间的距离（4米）来得到需要的树苗数量。所以20除以4等于5，所以需要5棵树苗。问：在20米花坛的一侧，每隔5米栽一棵树苗（只栽一端）。一共需要多少棵树苗？,4
5,问：某校长方形操场面积2800平方米，因扩建，要把宽从40米增加到50米，长不变．扩建后的操场面积比原来增加多少平方米？答：原来的操场长度是2800平方米 ÷ 40米 = 70米。扩建后的操场面积是70米 × 50米 = 3500平方米。所以，扩建后的操场面积比原来增加了3500平方米 - 2800平方米 = 700平方米。问：某校长方形操场面积2400平方米，因扩建，要把宽从40米增加到50米，长不变．扩建后的操场面积比原来增加多少平方米？,600
5,问：一个长方体的底面是周长16厘米的正方形，高3厘米，这个长方体的体积是多少立方厘米？答：长方体的体积计算公式是：底面积*高。一条边的长度是总周长除以4。即：16厘米 / 4 = 4厘米。那么，正方形的面积就是边长的平方，即：4厘米 * 4厘米 = 16平方厘米。所以长方体的体积为16 * 3 = 48。问：一个长方体的底面是周长12厘米的正方形，高3厘米，这个长方体的体积是多少立方厘米？,27
