grade,question,golden
6,一种糖水，糖和水按照1：150配制的；现有糖100克，可以配制这样的糖水多少克？,15100
6,一种自行车前齿轮的齿数是48，后齿轮的齿数是24。如果车轮的直径是66厘米，蹬一圈大约能走多少米？,414.48
6,某款书包打八折后售价是120元，如果打九折出售，买这款书包需要多少元？,135
6,小丽和小明进行踢毽子比赛，小明5/6分钟踢了20个，小丽2/3分钟踢了18个，小丽每分钟比小明多踢多少个？,3
6,一种衣服现在打九折出售，每件卖45元，那么原价是多少元？,50
6,某件皮衣原价是1800元，现降价270元出售，该商品是打了几折出售的？,8.5
6,甲乙两车汽车同时从A地开往B地，当甲车行了全程的1/3时，乙车正好行了60千米；当甲车到达B地时，乙车行了全程的3/5，AB两地相距多少千米？,300
6,一个卷烟厂上半年的销售额是3000万元，如果按照销售额45%缴纳消费税，上半年应缴纳消费税款多少万元？,1350
6,一个酒瓶的高度是30厘米，底面直径是8厘米，瓶里酒的高度是20厘米，把酒瓶塞拧紧后瓶口向下。这时酒的高度是24厘米。问酒瓶容积是多少毫升？,1306.24
6,一件上衣300元，若上衣比裤子少2/3，一条裤子多少钱？,900
6,一种糖水，糖和水按照1：150配制的；要配制这样的糖水15100克，需要水多少克？,15000
6,一种自行车前齿轮的齿数是26，后齿轮的齿数是24。车轮的半径是35厘米，蹬一圈大约能走多少米？,2.198
6,六一班共50名同学，其中考试数学的优秀率为56%，六一班数学得优的有多少人？,28
6,在某高速公路上A、B两车正好相距96千米，现两车正好同时从两个不同的服务区上同向而行，A车每小时行95千米，B车每小时行107千米．经过几小时B车可以追上A车？,8
6,一个圆锥形麦堆，底面直径2米，高0.6米，每立方米小麦约重500千克，这堆小麦重多少千克？,314
6,张老师到银行存款4500元，年利率是2.25％，扣除20％利息税，一年后取回本息多少元?,4581
6,六年级一共有146人，其中男生人数是女生人数的2倍多56人，男生有多少人？,116
6,一根3米长的圆柱形木料，锯成3段，表面积增加16平方分米，这根木料的底面积是多少平方分米？,4
6,红卫小学有4000本图书，育新小学有5000本图书，育新小学的图书比红卫小学多百分之几？,25%
6,张阿姨在端午节一共包了蛋黄粽与肉粽75个，蛋黄粽与肉粽的比是2：3．张阿姨包了多少个肉粽？,45
6,一只蝴蝶2时飞行15.6千米，一只蜜蜂的飞行速度是这只蝴蝶的2.4倍。这只蜜蜂每时飞行多少千米？,18.72
